scheme,mukim,district,lat,lon,geo_level,matched
TMN PANDAN JAYA,AMPANG,Hulu Langat,3.1360784,101.7434252,scheme,"Taman Pandan Jaya, Pandan Indah, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, 51500, Malaysia"
TMN PANDAN JAYA,BANDAR AMPANG,Hulu Langat,3.1360784,101.7434252,scheme,"Taman Pandan Jaya, Pandan Indah, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, 51500, Malaysia"
TMN PANDAN JAYA (PANGSAPURI BAYU),BANDAR AMPANG,Hulu Langat,3.1360784,101.7434252,scheme,"Taman Pandan Jaya, Pandan Indah, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, 51500, Malaysia"
TMN PANDAN MESRA,BANDAR AMPANG,Hulu Langat,3.1322692,101.7725685,scheme,"Taman Pandan Mesra, Kampung Indah Permai, Kampung Sri Taman Baru, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Se"
TMN PANDAN MESRA (MESRA RIA),BANDAR AMPANG,Hulu Langat,3.1322692,101.7725685,scheme,"Taman Pandan Mesra, Kampung Indah Permai, Kampung Sri Taman Baru, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Se"
TMN PANDAN MEWAH,AMPANG,Hulu Langat,3.1246915,101.7677499,scheme,"Tabika Kemas Taman Sri Raya, Jalan 5/9, Pandan Mewah, Kampung Tasik Tambahan, Ampang, Ampang Jaya Municipal Council, Hul"
TMN PANDAN MEWAH,BANDAR AMPANG,Hulu Langat,3.1246915,101.7677499,scheme,"Tabika Kemas Taman Sri Raya, Jalan 5/9, Pandan Mewah, Kampung Tasik Tambahan, Ampang, Ampang Jaya Municipal Council, Hul"
TMN PANDAN MEWAH (PANDAN COURT),BANDAR AMPANG,Hulu Langat,3.1246915,101.7677499,scheme,"Tabika Kemas Taman Sri Raya, Jalan 5/9, Pandan Mewah, Kampung Tasik Tambahan, Ampang, Ampang Jaya Municipal Council, Hul"
TMN PANDAN PERDANA,AMPANG,Hulu Langat,3.1191629,101.7497002,scheme,"Taman Kencana, Pandan Perdana, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, 55300, Malaysia"
TMN PANDAN PERDANA,BANDAR AMPANG,Hulu Langat,3.1191629,101.7497002,scheme,"Taman Kencana, Pandan Perdana, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, 55300, Malaysia"
TMN PANDAN PERDANA,HULU LANGAT,Hulu Langat,3.1280887,101.7383328,scheme,"UniKL MIDI, Jalan Indah 5, Taman Cheras Indah, Cheras, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, 515"
TMN PANDAN PERDANA (PANDAN HEIGHTS),BANDAR AMPANG,Hulu Langat,3.1280887,101.7383328,scheme,"UniKL MIDI, Jalan Indah 5, Taman Cheras Indah, Cheras, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, 515"
TMN PANDAN RIA,BANDAR AMPANG,Hulu Langat,3.1395241,101.7606127,scheme,"Taman Pandan Ria, Pandan Indah, Ampang, Ampang Jaya Municipal Council, Hulu Langat, Selangor, Malaysia"
TMN PANDAN UTAMA,AMPANG,Hulu Langat,3.1119384,101.7582463,scheme,"Flat Taman Bukit Permai, Jalan Bukit Permai Utama, Taman Mawar, Pandan Perdana, Ampang, Ampang Jaya Municipal Council, H"
TMN PANDAN UTAMA,BANDAR AMPANG,Hulu Langat,3.1119384,101.7582463,scheme,"Flat Taman Bukit Permai, Jalan Bukit Permai Utama, Taman Mawar, Pandan Perdana, Ampang, Ampang Jaya Municipal Council, H"
TMN PANGLIMA,BANDAR TELOK PANGLIMA GARANG,Kuala Langat,2.9087494,101.4691812,scheme,"Taman Panglima, Teluk Panglima Garang, Kuala Langat, Selangor, 42600, Malaysia"
TMN PANGLIMA,PEKAN TELUK PANGLIMA GARANG,Kuala Langat,2.9087494,101.4691812,scheme,"Taman Panglima, Teluk Panglima Garang, Kuala Langat, Selangor, 42600, Malaysia"
TMN PANGLIMA,TELOK PANGLIMA GARANG,Kuala Langat,2.9053828,101.4670316,scheme,"Jalan Taman Halijahton, Taman TelokBulatan Telok Panglima Garang, Teluk Panglima Garang, Kuala Langat, Selangor, 42600, "
TMN PANTAI DALAM FLAT,MUKIM KUALA LUMPUR,Kuala Lumpur,3.0934783,101.6681775,scheme,"Flat Taman Pantai Dalam, Pantai Dalam, Kuala Lumpur, 59200, Malaysia"
TMN PANTAI INDAH,KELANG,Klang,,,none,
TMN PANTAI INDAH,MUKIM KUALA LUMPUR,Kuala Lumpur,3.1426125,101.7279835,scheme,"Petronas Taman Maluri, Lebuhraya SPE, Maluri, Kampung Pandan, Kuala Lumpur, 55188, Malaysia"
TMN PANTAI SEPANG PUTRA,SEPANG,Sepang,2.624266,101.7080435,scheme,"Taman Sepang Putra (2B), Jalan Perling 2, Pantai Sepang Putra, Bagan Lalang, Sepang, Selangor, 45950, Malaysia"
TMN PARI,API-API,Kuala Selangor,3.2641082,101.3009988,scheme,"Taman Pari, Sasaran, Kuala Selangor, Selangor, Malaysia"
TMN PASIR MAS,BANDAR BARU BANGI,Hulu Langat,,,none,
TMN PASIR MAS,KAJANG,Hulu Langat,2.9839653,101.7852961,road,"Jalan Pasir Emas 2, Taman Pasir Emas, Kampung Kwan Tung Baru, Kajang Municipal Council, Hulu Langat, Selangor, 43000, Ma"
TMN PEKAN KAPAR,PEKAN KAPAR,Klang,,,none,
TMN PEKAN MERU,PEKAN MERU,Klang,3.080054,101.4475649,scheme,"Taman Sri Pekan, Jalan Meru, Taman Seri Pekan, Klang City, Klang, Selangor, 41050, Malaysia"
TMN PEKERTI (RM PKNS),JERAM,Kuala Selangor,3.2273809,101.3727554,scheme,"Taman Pekerti, Kuala Selangor, Selangor, Malaysia"
TMN PELABUHAN (PORT GARDEN),BANDAR KELANG,Klang,3.0238252,101.4318905,scheme,"Perumahan Taman Chi Liung (Barat), Persiaran Seraya, Chi Liung Garden, Pandamaran, Port Klang, Klang City, Klang, Selang"
TMN PELABUHAN (PORT GARDEN),KELANG,Klang,3.020476,101.4118407,scheme,"Taman Pelabuhan, Kampung Raja Uda, Port Klang, Klang City, Klang, Selangor, 42000, Malaysia"
TMN PELANGI,MUKIM SETAPAK,Kuala Lumpur,3.204966,101.6929329,scheme,"Taman Pelangi, Kampung Chubadak Hulu, Kampung Padang Balang, Kuala Lumpur, Malaysia"
TMN PELANGI (PL 442),KUALA SELANGOR,Kuala Selangor,2.6608198,101.5520961,scheme,"Taman Pelangi, Pekan Tanjung Sepat, Kuala Langat, Selangor, 42800, Malaysia"
TMN PELANGI (TG 12),BANDAR TANJUNG SEPAT,Kuala Langat,2.6608198,101.5520961,scheme,"Taman Pelangi, Pekan Tanjung Sepat, Kuala Langat, Selangor, 42800, Malaysia"
TMN PELANGI JAYA,MUKIM SETAPAK,Kuala Lumpur,3.2081634,101.6941341,scheme,"Taman Pelangi Jaya, Kampung Bandar Dalam, Kampung Padang Balang, Kuala Lumpur, 53000, Malaysia"
TMN PELANGI SEMENYIH,BERANANG,Hulu Langat,2.9308226,101.8596387,scheme,"Taman Pelangi Semenyih, Pelangi Semenyih, Semenyih, Kajang Municipal Council, Hulu Langat, Selangor, 43500, Malaysia"
TMN PELANGI SEMENYIH,SEMENYIH,Hulu Langat,2.9308226,101.8596387,scheme,"Taman Pelangi Semenyih, Pelangi Semenyih, Semenyih, Kajang Municipal Council, Hulu Langat, Selangor, 43500, Malaysia"
TMN PELANGI SEMENYIH 2,BERANANG,Hulu Langat,2.9308226,101.8596387,scheme,"Taman Pelangi Semenyih, Pelangi Semenyih, Semenyih, Kajang Municipal Council, Hulu Langat, Selangor, 43500, Malaysia"
TMN PENDAMAR INDAH,KELANG,Klang,2.9865811,101.4209387,scheme,"Taman Pendamar Indah, Kampung Idaman, Port Klang, Klang City, Klang, Selangor, 42009, Malaysia"
TMN PENDAMAR INDAH 2,KELANG,Klang,2.9802221,101.4259926,scheme,"Taman Pendamar Indah 2, Port Klang, Klang City, Klang, Selangor, 41200, Malaysia"
TMN PENDAMAR INDAH 3,KELANG,Klang,2.9865811,101.4209387,scheme,"Taman Pendamar Indah, Kampung Idaman, Port Klang, Klang City, Klang, Selangor, 42009, Malaysia"
TMN PENGGAWA,API-API,Kuala Selangor,3.3244359,101.2653304,scheme,"Taman Penggawa, Kuala Selangor, Selangor, Malaysia"
TMN PERANGSANG-PJS 1,BDR PETALING JAYA SELATAN,Petaling,3.0809932,101.64772,scheme,"Flat Taman Perangsang, PJS 1, Petaling Jaya South, Petaling Jaya, Petaling, Selangor, Malaysia"
TMN PERDANA SG PELIK,SEPANG,Sepang,2.6464034,101.7172261,road,"Jalan Perdana 1, Taman Harmoni Indah 1, Sungai Pelek, Sepang, Selangor, 45950, Malaysia"
TMN PEREPAT INDAH,KAPAR,Klang,,,none,
TMN PEREPAT PERMAI,KAPAR,Klang,,,none,
TMN PEREPAT PERMAI (P/L 6774),KAPAR,Klang,3.1232228,101.3631502,road,"Jalan Penghulu Rashid 14E/KU15, Kapar, Klang City, Klang, Selangor, 42200, Malaysia"
TMN PERIANG,PEKAN SUNGAI MANGGIS,Kuala Langat,2.8343959,101.531796,scheme,"Taman Periang, Teluk Datok, Kuala Langat, Selangor, Malaysia"
TMN PERINDUSTRIAN MAJU JAYA-PCHNG UTAMA,PEKAN PUCHONG PERDANA,Petaling,,,none,
TMN PERINDUSTRIAN MAJU JAYA-PJS 1,BDR PETALING JAYA SELATAN,Petaling,,,none,
TMN PERKASA,HULU LANGAT,Hulu Langat,3.1026043,101.798395,scheme,"Taman Perkasa, Batu 14 Hulu Langat, Kajang Municipal Council, Hulu Langat, Selangor, 43100, Malaysia"
