name,code,lines,operator,type,authority,opened,lat,lon,url,coord_source
Sri Rampai,KJ4,5   Kelana Jaya Line,Rapid Rail,LRT,Kuala Lumpur,24 December 2010,3.19889,101.73694,https://en.wikipedia.org/wiki/Sri_Rampai_LRT_station,wikipedia
Sri Raya,KG28,9   Kajang Line,Rapid Rail,MRT,Kajang,17 July 2017,3.20639,101.58028,https://en.wikipedia.org/wiki/Sri_Raya_MRT_station,wikipedia
SS15,KJ29,5   Kelana Jaya Line,Rapid Rail,LRT,Subang Jaya,30 June 2016,3.0758,101.5861,https://en.wikipedia.org/wiki/SS15_LRT_station,wikipedia
SS18,KJ30,5   Kelana Jaya Line,Rapid Rail,LRT,Subang Jaya,30 June 2016,3.0669157,101.5861896,https://en.wikipedia.org/wiki/SS18_LRT_station,osm
Stadium Kajang,KG34,9   Kajang Line,Rapid Rail,MRT,Kajang,17 July 2017,2.994,101.78625,https://en.wikipedia.org/wiki/Stadium_Kajang_MRT_station,wikipedia
Stadium Shah Alam,SA10,11   Shah Alam Line,Rapid Rail,LRT,Shah Alam,29 June 2026,3.0799753,101.5491496,https://en.wikipedia.org/wiki/Stadium_Shah_Alam_LRT_station,osm
Subang,SA06,11   Shah Alam Line,Rapid Rail,LRT,Petaling Jaya,29 June 2026,3.1062,101.591,https://en.wikipedia.org/wiki/Subang_LRT_station,wikipedia
Subang Alam,KJ36,5   Kelana Jaya Line,Rapid Rail,LRT,Shah Alam,30 June 2016,3.00972,101.57222,https://en.wikipedia.org/wiki/Subang_Alam_LRT_station,wikipedia
Subang Jaya,KD09     KS02     KJ28,2   Tanjung Malim–Port Klang Line 5   Kelana Jaya Line 10   KL Sentral–Terminal Skypark Line,KTM Rapid Rail,Commuter rail LRT Airport rail link,Subang Jaya,14 August 1995  (Tanjung Malim-Port Klang Line) 30 June 2016  (LRT) 1 May 2001  (KL Sentral-Skypark Line),3.08472,101.58806,https://en.wikipedia.org/wiki/Subang_Jaya_station,wikipedia
Sultan Ismail,AG5     SP5,3   Ampang Line 4   Sri Petaling Line,Rapid Rail,LRT,Kuala Lumpur,16 December 1996,3.16111,101.69389,https://en.wikipedia.org/wiki/Sultan_Ismail_LRT_station,wikipedia
Sungai Besi,SP16     PY29,4   Sri Petaling Line 12   Putrajaya Line,Rapid Rail,LRT MRT,Kuala Lumpur,11 July 1998 (LRT)   16 March 2023 (MRT),3.063944,101.708,https://en.wikipedia.org/wiki/Sungai_Besi_station,wikipedia
Sungai Buloh,KA08     PY04,2   Tanjung Malim–Port Klang Line 12   Putrajaya Line,KTM Rapid Rail,Commuter rail MRT,Selayang,1995 (KTM Komuter) 16 December 2016 (MRT),3.20611,101.58028,https://en.wikipedia.org/wiki/Sungai_Buloh_station,wikipedia
Sungai Gadut,KB16,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Seremban,14 May 2011,2.660722,101.995778,https://en.wikipedia.org/wiki/Sungai_Gadut_Komuter_station,wikipedia
Sungai Jernih,KG33,9   Kajang Line,Rapid Rail,MRT,Kajang,17 July 2017,3.00075,101.7840806,https://en.wikipedia.org/wiki/Sungai_Jernih_MRT_station,wikipedia
SunMed,SB4,B1   BRT Sunway Line,Rapid Bus,BRT,Subang Jaya,2 June 2015,3.065537,101.608595,https://en.wikipedia.org/wiki/SunMed_BRT_station,wikipedia
SunU-Monash,SB5,B1   BRT Sunway Line,Rapid Bus,BRT,Subang Jaya,2 June 2015,3.065329,101.601527,https://en.wikipedia.org/wiki/SunU-Monash_BRT_station,wikipedia
Sunway Lagoon,SB3,B1   BRT Sunway Line,Rapid Bus,BRT,Subang Jaya,2 June 2015,3.070727,101.610622,https://en.wikipedia.org/wiki/Sunway_Lagoon_BRT_station,wikipedia
Surian,KG07,9   Kajang Line,Rapid Rail,MRT,Petaling Jaya,16 December 2016,3.1496278,101.5935917,https://en.wikipedia.org/wiki/Surian_MRT_station,wikipedia
Taipan,KJ32,5   Kelana Jaya Line,Rapid Rail,LRT,Subang Jaya,30 June 2016,3.0478391,101.5901533,https://en.wikipedia.org/wiki/Taipan_LRT_station,osm
Taman Bahagia,KJ23,5   Kelana Jaya Line,Rapid Rail,LRT,Kuala Lumpur,1 September 1998,3.11056,101.6125,https://en.wikipedia.org/wiki/Taman_Bahagia_LRT_station,wikipedia
Taman Connaught,KG26,9   Kajang Line,Rapid Rail,MRT,Kuala Lumpur,17 July 2017,3.20639,101.58028,https://en.wikipedia.org/wiki/Taman_Connaught_MRT_station,wikipedia
Taman Equine,PY36,12   Putrajaya Line,Rapid Rail,MRT,Subang Jaya,16 March 2023,2.9892208,101.6724868,https://en.wikipedia.org/wiki/Taman_Equine_MRT_station,osm
Taman Jaya,KJ20,5   Kelana Jaya Line,Rapid Rail,LRT,Kuala Lumpur,1 September 1998,3.10389,101.645,https://en.wikipedia.org/wiki/Taman_Jaya_LRT_station,wikipedia
Taman Melati,KJ2,5   Kelana Jaya Line,Rapid Rail,LRT,Selayang,1 June 1999,3.21944,101.72167,https://en.wikipedia.org/wiki/Taman_Melati_LRT_station,wikipedia
Taman Midah,KG24,9   Kajang Line,Rapid Rail,MRT,Kuala Lumpur,17 July 2017,3.1045,101.732194,https://en.wikipedia.org/wiki/Taman_Midah_MRT_station,wikipedia
Taman Mutiara,KG25,9   Kajang Line,Rapid Rail,MRT,Kuala Lumpur,17 July 2017,3.20639,101.58028,https://en.wikipedia.org/wiki/Taman_Mutiara_MRT_station,wikipedia
Taman Naga Emas,PY28,12   Putrajaya Line,Rapid Rail,MRT,Kuala Lumpur,16 March 2023,3.0777183,101.6995333,https://en.wikipedia.org/wiki/Taman_Naga_Emas_MRT_station,osm
Taman Paramount,KJ22,5   Kelana Jaya Line,Rapid Rail,LRT,Kuala Lumpur,1 September 1998,3.10444,101.62306,https://en.wikipedia.org/wiki/Taman_Paramount_LRT_station,wikipedia
Taman Perindustrian Puchong,SP26,4   Sri Petaling Line,Rapid Rail,LRT,Subang Jaya,31 March 2016,3.022861,101.6135,https://en.wikipedia.org/wiki/Taman_Perindustrian_Puchong_LRT_station,wikipedia
Taman Pertama,KG23,9   Kajang Line,Rapid Rail,MRT,Kuala Lumpur,17 July 2017,3.1127389,101.7292889,https://en.wikipedia.org/wiki/Taman_Pertama_MRT_station,wikipedia
Taman Selatan,SA21,11   Shah Alam Line,Rapid Rail,LRT,Klang,29 June 2026,3.0269321,101.4423939,https://en.wikipedia.org/wiki/Taman_Selatan_LRT_station,osm
Taman Suntex,KG27,9   Kajang Line,Rapid Rail,MRT,Kajang,17 July 2017,3.0716,101.7636,https://en.wikipedia.org/wiki/Taman_Suntex_MRT_station,wikipedia
Taman Tun Dr Ismail (TTDI),KG10,9   Kajang Line,Rapid Rail,MRT,Kuala Lumpur,16 December 2016,3.1360889,101.6307667,https://en.wikipedia.org/wiki/Taman_Tun_Dr_Ismail_MRT_station,wikipedia
Taman Wahyu,KC04,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Kuala Lumpur,April 2010,3.21444,101.67222,https://en.wikipedia.org/wiki/Taman_Wahyu_Komuter_station,wikipedia
Tanjung Malim,KA15,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Tanjung Malim,1 June 2008,3.68444,101.518,https://en.wikipedia.org/wiki/Tanjung_Malim_railway_station,wikipedia
Teluk Gadong,KD16,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Klang,1995,3.033894,101.4249444,https://en.wikipedia.org/wiki/Teluk_Gadong_Komuter_station,osm
Teluk Pulai,KD15,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Klang,1995,3.04083,101.43222,https://en.wikipedia.org/wiki/Teluk_Pulai_Komuter_station,wikipedia
Terminal Skypark,KS03,10   KL Sentral–Terminal Skypark Line,KTM,Airport rail link,Subang Jaya,1 May 2018,3.13429,101.55544,https://en.wikipedia.org/wiki/Terminal_Skypark_Komuter_station,wikipedia
Tiroi,KB13,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Seremban,1995,2.74139,101.87167,https://en.wikipedia.org/wiki/Tiroi_Komuter_station,wikipedia
Titiwangsa,AG3     SP3     MR11     PY17,3   Ampang Line 4   Sri Petaling Line 8   KL Monorail 12   Putrajaya Line,Rapid Rail,LRT Monorail MRT,Kuala Lumpur,11 July 1998 (LRT) 31 August 2003 (Monorail) 16 March 2023 (MRT),3.173296,101.695555,https://en.wikipedia.org/wiki/Titiwangsa_station,wikipedia
Tun Razak Exchange (TRX),KG20     PY23,9   Kajang Line 12   Putrajaya Line,Rapid Rail,MRT,Kuala Lumpur,17 July 2017  (Kajang Line)    16 March 2023  (Putrajaya Line),3.1424028,101.7201556,https://en.wikipedia.org/wiki/Tun_Razak_Exchange_MRT_station,wikipedia
Tun Sambanthan,MR2,8   KL Monorail,Rapid Rail,Monorail,Kuala Lumpur,31 August 2003,3.13139,101.69056,https://en.wikipedia.org/wiki/Tun_Sambanthan_Monorail_station,wikipedia
UiTM Shah Alam,SA14,11   Shah Alam Line,Rapid Rail,LRT,Shah Alam,29 June 2026,3.0627923,101.5011692,https://en.wikipedia.org/wiki/UiTM_Shah_Alam_LRT_station,osm
Universiti,KJ19,5   Kelana Jaya Line,Rapid Rail,LRT,Kuala Lumpur,1 September 1998,3.11444,101.66167,https://en.wikipedia.org/wiki/Universiti_LRT_station,wikipedia
UKM,KB08,1   Batu Caves–Pulau Sebang Line,KTM,Commuter rail,Kuala Lumpur,1995,2.93944,101.78778,https://en.wikipedia.org/wiki/UKM_Komuter_station,wikipedia
UPM,PY34,12   Putrajaya Line,Rapid Rail,MRT,Subang Jaya,16 March 2023,3.0084878,101.705391,https://en.wikipedia.org/wiki/UPM_MRT_station,osm
USJ 7,KJ31     SB7,5   Kelana Jaya Line B1   BRT Sunway Line,Rapid Rail Rapid Bus,LRT BRT,Subang Jaya,30 June 2016 (LRT) 2 June 2015 (BRT),3.054888,101.59188,https://en.wikipedia.org/wiki/USJ_7_station,wikipedia
USJ 21,KJ34,5   Kelana Jaya Line,Rapid Rail,LRT,Subang Jaya,30 June 2016,3.03,101.58222,https://en.wikipedia.org/wiki/USJ_21_LRT_station,wikipedia
Wangsa Maju,KJ3,5   Kelana Jaya Line,Rapid Rail,LRT,Kuala Lumpur,1 June 1999,3.20556,101.73139,https://en.wikipedia.org/wiki/Wangsa_Maju_LRT_station,wikipedia
Wawasan,KJ33,5   Kelana Jaya Line,Rapid Rail,LRT,Subang Jaya,30 June 2016,3.0350524,101.5881042,https://en.wikipedia.org/wiki/Wawasan_LRT_station,osm
16 Sierra,PY38,12   Putrajaya Line,Rapid Rail,MRT,Sepang,16 March 2023,2.965444,101.654889,https://en.wikipedia.org/wiki/16_Sierra_MRT_station,wikipedia
