name,code,lines,operator,type,authority,opened,lat,lon,url,coord_source
Kampung Baru,KJ11,5   Kelana Jaya Line,Rapid Rail,LRT,Kuala Lumpur,1 June 1999,3.16111,101.70639,https://en.wikipedia.org/wiki/Kampung_Baru_LRT_station,wikipedia
Kampung Batu,KC03         PY13,1   Batu Caves–Pulau Sebang Line 12   Putrajaya Line,KTM Rapid Rail,Commuter rail MRT,Kuala Lumpur,April 2010  (KTM Komuter) 16 June 2022  (MRT),3.20472,101.67556,https://en.wikipedia.org/wiki/Kampung_Batu_station,wikipedia
Kampung Dato Harun,KD06,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Petaling Jaya,14 August 1995,3.08444,101.63222,https://en.wikipedia.org/wiki/Kampung_Dato_Harun_Komuter_station,wikipedia
Kampung Raja Uda,KD17,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Klang,1995,3.02028,101.41028,https://en.wikipedia.org/wiki/Kampung_Raja_Uda_Komuter_station,wikipedia
Kampung Selamat,PY03,12   Putrajaya Line,Rapid Rail,MRT,Petaling Jaya,16 December 2016,3.1973694,101.578425,https://en.wikipedia.org/wiki/Kampung_Selamat_MRT_station,wikipedia
Kayu Ara,SA02,11   Shah Alam Line,Rapid Rail,LRT,Petaling Jaya,29 June 2026,3.1349,101.6168,https://en.wikipedia.org/wiki/Kayu_Ara_LRT_station,wikipedia
Kelana Jaya,KJ24,5   Kelana Jaya Line,Rapid Rail,LRT,Petaling Jaya,1 September 1998,3.1125,101.60389,https://en.wikipedia.org/wiki/Kelana_Jaya_LRT_station,wikipedia
Kentonmen,PY14,12   Putrajaya Line,Rapid Rail,MRT,Kuala Lumpur,16 March 2023,3.195444,101.679611,https://en.wikipedia.org/wiki/Kentonmen_MRT_station,wikipedia
Kepong,KA06,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Kuala Lumpur,1995,3.20278,101.6375,https://en.wikipedia.org/wiki/Kepong_Komuter_station,wikipedia
Kepong Baru,PY10,12   Putrajaya Line,Rapid Rail,MRT,Kuala Lumpur,16 June 2022,3.21189,101.64804,https://en.wikipedia.org/wiki/Kepong_Baru_MRT_station,wikipedia
Kepong Sentral,KA07,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Petaling Jaya,1 July 2006,3.20861,101.62833,https://en.wikipedia.org/wiki/Kepong_Sentral_station,wikipedia
Kerinchi,KJ18,5   Kelana Jaya Line,Rapid Rail,LRT,Kuala Lumpur,1 September 1998,3.11528,101.66806,https://en.wikipedia.org/wiki/Kerinchi_LRT_station,wikipedia
Kerjaya,SA09,11   Shah Alam Line,Rapid Rail,LRT,Shah Alam,29 June 2026,3.0823501,101.5619822,https://en.wikipedia.org/wiki/Kerjaya_LRT_station,osm
Kinrara BK 5,SP22,4   Sri Petaling Line,Rapid Rail,LRT,Subang Jaya,31 October 2015,3.050556,101.644222,https://en.wikipedia.org/wiki/Kinrara_BK_5_LRT_station,wikipedia
Klang,KD14,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Klang,1995,3.04306,101.45,https://en.wikipedia.org/wiki/Klang_Komuter_station,wikipedia
Klang Jaya,SA23,11   Shah Alam Line,Rapid Rail,LRT,Klang,29 June 2026,3.0055,101.44187,https://en.wikipedia.org/wiki/Klang_Jaya_LRT_station,wikipedia
KLCC,KJ10,5   Kelana Jaya Line,Rapid Rail,LRT,Kuala Lumpur,1 June 1999,3.15917,101.71389,https://en.wikipedia.org/wiki/KLCC_LRT_station,wikipedia
KLIA T1,KE2     KT5,6   KLIA Ekspres 7   KLIA Transit,ERL,Airport rail link,Sepang,14 April 2002  (KLIA Ekspres) 20 June 2002  (KLIA Transit),2.755,101.7049,https://en.wikipedia.org/wiki/KLIA_T1_ERL_station,wikipedia
KLIA T2,KE3     KT6,6   KLIA Ekspres 7   KLIA Transit,ERL,Airport rail link,Sepang,1 May 2014,2.74,101.69,https://en.wikipedia.org/wiki/KLIA_T2_ERL_station,wikipedia
Kota Damansara,KG06,9   Kajang Line,Rapid Rail,MRT,Petaling Jaya,16 December 2016,3.15030194,101.5786167,https://en.wikipedia.org/wiki/Kota_Damansara_MRT_station,wikipedia
Kuala Kubu Bharu,KA14,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Hulu Selangor,5 January 2008,3.553007,101.640006,https://en.wikipedia.org/wiki/Kuala_Kubu_Bharu_Komuter_station,wikipedia
Kuala Lumpur,KA02,1   Batu Caves–Pulau Sebang Line 2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Kuala Lumpur,14 August 1995,3.13944,101.69333,https://en.wikipedia.org/wiki/Kuala_Lumpur_railway_station,wikipedia
Kuala Lumpur Sentral (KL Sentral),KA01     KS01     KJ15     KE1     KT1,1   Batu Caves–Pulau Sebang Line 2   Tanjung Malim–Port Klang Line 5   Kelana Jaya Line 6   KLIA Ekspres 7   KLIA Transit 10   KL Sentral–Terminal Skypark Line / 8   KL Monorail,KTM Rapid Rail ERL,Airport rail link Commuter rail LRT,Kuala Lumpur,"2001  (Kelana Jaya Line, Batu Caves-Pulau Sebang Line, Tanjung Malim-Port Klang Line) 14 April 2002  (KLIA Ekspres) 20 June 2002  (KLIA Transit) 1 May 2018  (KL Sentral-Skypark Line)",3.1343,101.6864,https://en.wikipedia.org/wiki/Kuala_Lumpur_Sentral_railway_station,wikipedia
Kuang,KA09,2   Tanjung Malim–Port Klang Line,KTM,Commuter rail,Selayang,1995,3.25806,101.555,https://en.wikipedia.org/wiki/Kuang_Komuter_station,wikipedia
